metric,value,step
agent0/rewards/,-0.7273829579353333,2292.0
agent0/rewards/,-0.6744521260261536,2296.0
agent0/rewards/,-0.8155373334884644,2300.0
agent0/rewards/,-0.6567532420158386,2304.0
agent0/rewards/,-0.8438159227371216,2308.0
agent0/rewards/,-0.7387451529502869,2312.0
agent0/rewards/,-0.9587773680686951,2316.0
agent0/rewards/,-1.0737853050231934,2320.0
agent0/rewards/,-1.075415015220642,2324.0
agent0/rewards/,-0.8150731325149536,2328.0
agent0/rewards/,-0.9668205380439758,2332.0
agent0/rewards/,-0.7900450825691223,2336.0
agent0/rewards/,-0.9220581650733948,2340.0
agent0/rewards/,-0.5790272355079651,2344.0
agent0/rewards/,-0.6649675965309143,2348.0
agent0/rewards/,-0.488057404756546,2352.0
agent0/rewards/,-1.000319242477417,2356.0
agent0/rewards/,-1.018167495727539,2360.0
agent0/rewards/,-0.681493878364563,2364.0
agent0/rewards/,-0.7708315253257751,2368.0
agent0/rewards/,-0.7100602984428406,2372.0
agent0/rewards/,-0.6410433650016785,2376.0
